index,x,y,t_seconds,stroke
138,531,221,8.800766706466675,1
139,517,210,8.824169874191284,1
140,505,206,8.847130298614502,1
141,495,204,8.866204500198364,1
142,473,203,8.89546823501587,1
143,399,216,9.067049980163574,2
144,388,231,9.082722187042236,2
145,375,246,9.098748445510864,2
146,359,272,9.128995656967163,2
147,350,296,9.160988569259644,2
148,348,318,9.193614482879639,2
149,349,328,9.210176944732666,2
150,353,342,9.225676774978638,2
151,367,370,9.257988214492798,2
152,380,384,9.275756359100342,2
153,395,393,9.291767120361328,2
154,426,406,9.321867942810059,2
155,465,408,9.354101419448853,2
156,513,405,9.386180877685547,2
157,562,388,9.418989181518555,2
158,581,360,9.451814889907837,2
159,585,314,9.484960317611694,2
160,584,277,9.508818864822388,2
161,572,243,9.525814056396484,2
162,560,224,9.546484470367432,2
163,530,195,9.579190015792847,2
164,503,178,9.601772785186768,2
165,480,167,9.621575117111206,2
166,467,163,9.637300252914429,2
167,458,160,9.655232906341553,2
168,448,158,9.670241594314575,2
169,431,157,9.700586080551147,2
170,417,158,9.716474294662476,2
171,401,162,9.732300519943237,2
172,378,174,9.748303651809692,2
173,360,186,9.764209985733032,2
174,293,312,9.902767181396484,3
175,297,334,9.926506996154785,3
176,305,361,9.95075011253357,3
177,312,378,9.96603012084961,3
178,326,392,9.983778953552246,3
179,356,412,10.00472092628479,3
180,386,424,10.021984815597534,3
181,418,429,10.038869619369507,3
182,498,421,10.075860261917114,3
183,529,409,10.093996047973633,3
184,562,396,10.117950201034546,3
185,579,364,10.15098237991333,3
186,582,337,10.176722049713135,3
187,582,305,10.199236869812012,3
188,582,289,10.215008974075317,3
189,575,241,10.247150897979736,3
190,568,227,10.262683629989624,3
191,545,202,10.295998096466064,3
192,522,190,10.319982767105103,3
193,500,182,10.343927145004272,3
194,484,178,10.359989643096924,3
195,459,175,10.38367748260498,3
196,445,174,10.400315523147583,3
197,431,174,10.424721956253052,3
198,422,176,10.441385984420776,3
199,403,187,10.472175121307373,3
200,393,196,10.488107919692993,3
201,374,214,10.508654117584229,3
202,345,243,10.533347606658936,3
203,312,274,10.569034814834595,3
204,293,314,10.616623878479004,4
205,292,327,10.634368419647217,4
