tau_mem,rho_B16,rho_B32,rho_B64,nn_dist_early,eff_states,rms
inf,0.8508888888888889,0.6155555555555556,0.2635555555555556,2.127208832261284,418.9862920646615,75.99684885117436
4000,0.8873333333333333,0.6735555555555557,0.29688888888888887,1.993515679846615,435.5465143855277,78.4096044898405
1000,0.9034444444444444,0.6851111111111111,0.301,1.802753356523909,425.9518418996836,77.69931174603892
300,0.899222222222222,0.6826666666666666,0.3058888888888889,1.856522357551705,418.0921046237219,77.75258153547082
100,0.8898888888888891,0.6789999999999999,0.3174444444444444,2.0373777237919892,423.0905600545782,77.89084228485827
30,0.8677777777777779,0.6457777777777778,0.3048888888888888,2.1811956604263307,388.3298059968679,76.72025626792137
no-dent,0.782,0.5762222222222223,0.28244444444444444,3.001799990117851,340.7943192585825,76.31666813306002
