gamma,rho_exact,eff_states,rms,ac1,osc2
-1.25,1.0,1.9999995004997504,1.1579814110817952,0.6994000004495502,1.0
-1.1730769230769231,1.0,1.9999995004997504,1.3209722457410034,0.6994000004495502,1.0
-1.0961538461538463,1.0,1.9999995004997504,1.58366528229991,0.1984000011988004,1.0
-1.0192307692307692,1.0,1.9999995004997504,1.238877156068951,0.5992000005994002,1.0
-0.9423076923076923,1.0,1.9999995004997504,1.3695615320075976,0.6994000004495502,1.0
-0.8653846153846154,1.0,1.9999995004997504,1.416021619989526,0.09820000134865046,1.0
-0.7884615384615384,1.0,1.9999995004997504,1.5830584696493093,0.7996000002997001,1.0
-0.7115384615384615,1.0,1.9999995004997504,1.6582568760635479,0.49900000074925027,1.0
-0.6346153846153846,1.0,1.9999995004997504,1.8477236845934009,0.3988000008991004,1.0
-0.5576923076923077,1.0,1.9999995004997504,1.7031443793788292,0.5992000005994002,1.0
-0.4807692307692307,1.0,1.9999995004997504,2.557399962547717,0.6994000004495502,1.0
-0.40384615384615374,1.0,1.9999995004997504,4.033458424959479,0.5992000005994002,1.0
-0.32692307692307687,1.0,1.9999995004997504,8.879235417640567,0.7996000002997,1.0
-0.25,1.0,1.9999995004997504,12.033731147171144,0.49900000074925027,1.0
-0.1730769230769229,0.9023488255872063,7.264170648978528,25.40900374135523,0.39971569941051294,0.849375312343828
-0.09615384615384603,0.3638180909545228,895.7339786199263,56.04474180606477,7.15289114677364e-06,0.18150924537731133
-0.019230769230769162,0.3551224387806097,975.799987415848,42.73226045974742,9.199140639280201e-06,0.16901549225387308
0.05769230769230771,0.3139930034982509,1081.7793504198758,47.86851852748762,7.025310971130313e-06,0.15667166416791606
0.13461538461538458,0.29330334832583704,1138.1799118272857,52.74000133954265,8.177654254752828e-06,0.14677661169415293
0.21153846153846168,0.2650674662668665,1200.484009279916,56.234000242937576,5.517625116290628e-06,0.13318340829585207
0.28846153846153855,0.2488755622188906,1253.0310199111682,47.5291893417063,4.9708176347084475e-06,0.12803598200899552
0.3653846153846154,0.22818590704647676,1309.1420059996858,59.55253795981004,5.163786830050311e-06,0.12093953023488255
0.4423076923076925,0.2046976511744128,1368.0126181136736,66.33191822097815,5.511469556426525e-06,0.10884557721139432
0.5192307692307694,0.2049975012493753,1385.2733489234972,48.68561436692954,6.443664482764016e-06,0.10439780109945027
0.5961538461538463,0.17936031984007994,1436.9843958037243,64.05256703973897,4.150909043936877e-06,0.09985007496251874
0.6730769230769231,0.1629185407296352,1480.4795149860468,68.0885233607615,5.02216107084717e-06,0.0889055472263868
0.75,0.15432283858070966,1506.8619590470175,64.02456783337709,5.0283992272093356e-06,0.08735632183908046
